depute_nom,groupe_abrev,scrutin_num,scrutin_date,vote_position,vote_dissident,scrutin_groupe,scrutin_fulldesc,scrutin_dossierLibelle,scrutin_typeLibelle,scrutin_typedetail
M. Régis Juanico,SOC,120,25/09/2017,absent,False,FI,Scrutin n° 120 du 25/09/2017 : l'amendement n° 245 de M. Bernalicis et l'amendement identique suivant à l'article premier du projet de loi renforçant la sécurité intérieure et la lutte contre le terrorisme (première lecture).,"Police et sécurité : sécurité intérieure et lutte contre le terrorisme
",Scrutins publics ordinaires,amendement
M. Dino Cinieri,LR,120,25/09/2017,absent,False,FI,Scrutin n° 120 du 25/09/2017 : l'amendement n° 245 de M. Bernalicis et l'amendement identique suivant à l'article premier du projet de loi renforçant la sécurité intérieure et la lutte contre le terrorisme (première lecture).,"Police et sécurité : sécurité intérieure et lutte contre le terrorisme
",Scrutins publics ordinaires,amendement
M. Régis Juanico,SOC,107,03/08/2017,pour,False,Gouvernement,Scrutin n° 107 du 03/08/2017 : l'ensemble du projet de loi pour la confiance dans la vie politique (texte de la commission mixte paritaire).,"Pouvoirs publics : confiance dans l'action publique
",Scrutins solennels sur l'ensemble d'un texte,loi
M. Dino Cinieri,LR,107,03/08/2017,absent,False,Gouvernement,Scrutin n° 107 du 03/08/2017 : l'ensemble du projet de loi pour la confiance dans la vie politique (texte de la commission mixte paritaire).,"Pouvoirs publics : confiance dans l'action publique
",Scrutins solennels sur l'ensemble d'un texte,loi
Mme Valéria Faure-Muntian,LAREM,107,03/08/2017,absent,False,Gouvernement,Scrutin n° 107 du 03/08/2017 : l'ensemble du projet de loi pour la confiance dans la vie politique (texte de la commission mixte paritaire).,"Pouvoirs publics : confiance dans l'action publique
",Scrutins solennels sur l'ensemble d'un texte,loi
M. Julien Borowczyk,LAREM,104,28/07/2017,pour,False,Gouvernement,Scrutin n° 104 du 28/07/2017 : l'ensemble du projet de loi organique pour la confiance dans la vie publique (première lecture).,"Pouvoirs publics : confiance dans l'action publique
",Scrutins solennels sur l'ensemble d'un texte,loi
M. Jean-Michel Mis,LAREM,104,28/07/2017,pour,False,Gouvernement,Scrutin n° 104 du 28/07/2017 : l'ensemble du projet de loi organique pour la confiance dans la vie publique (première lecture).,"Pouvoirs publics : confiance dans l'action publique
",Scrutins solennels sur l'ensemble d'un texte,loi
M. Dino Cinieri,LR,104,28/07/2017,absent,False,Gouvernement,Scrutin n° 104 du 28/07/2017 : l'ensemble du projet de loi organique pour la confiance dans la vie publique (première lecture).,"Pouvoirs publics : confiance dans l'action publique
",Scrutins solennels sur l'ensemble d'un texte,loi
M. Régis Juanico,SOC,104,28/07/2017,absent,False,Gouvernement,Scrutin n° 104 du 28/07/2017 : l'ensemble du projet de loi organique pour la confiance dans la vie publique (première lecture).,"Pouvoirs publics : confiance dans l'action publique
",Scrutins solennels sur l'ensemble d'un texte,loi
Mme Nathalie Sarles,LAREM,104,28/07/2017,absent,False,Gouvernement,Scrutin n° 104 du 28/07/2017 : l'ensemble du projet de loi organique pour la confiance dans la vie publique (première lecture).,"Pouvoirs publics : confiance dans l'action publique
",Scrutins solennels sur l'ensemble d'un texte,loi
